City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Yeppoon,AU,85.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
4,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,Butaritari,KI,81.28,light rain,3.0707,172.7902,Isles Sunset Lodge
12,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
14,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
26,Maragogi,BR,78.35,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
34,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
37,Busselton,AU,91.04,clear sky,-33.65,115.3333,Observatory Guest House
38,Kandrian,PG,82.35,moderate rain,-6.2167,149.55,Kandrian Station
41,Atuona,PF,77.31,light rain,-9.8,-139.0333,Villa Enata
46,Grand Gaube,MU,83.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
47,Daru,PG,84.9,broken clouds,-9.0763,143.2092,Daru Lodge
48,Souillac,MU,83.35,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
52,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
58,Rikitea,PF,78.91,clear sky,-23.1203,-134.9692,People ThankYou
59,Port Shepstone,ZA,75.0,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
60,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
62,Arraial Do Cabo,BR,75.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
67,Hithadhoo,MV,82.36,broken clouds,-0.6,73.0833,Scoop Guest House
68,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Jolo,PH,81.19,overcast clouds,6.05,121.0167,Narde Tumotod
76,Esperance,AU,82.24,broken clouds,-33.8667,121.9,Hospitality Esperance
79,Lakes Entrance,AU,76.05,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
87,Mazatan,MX,75.27,clear sky,14.8667,-92.45,Jose Luis Villalobos De La Cruz
90,Kavieng,PG,83.62,light rain,-2.5744,150.7967,Nusa Island Retreat
92,Itarema,BR,78.12,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
93,Mudgee,AU,82.62,overcast clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
96,Guatire,VE,75.7,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
118,Samarai,PG,83.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
125,Faanui,PF,81.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
127,Sampit,ID,89.58,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
131,Carutapera,BR,77.0,overcast clouds,-1.195,-46.02,Lidera
135,Mareeba,AU,85.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
137,Dingle,PH,86.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
144,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
146,Teshie,GH,81.16,clear sky,5.5836,-0.1072,Adinkra Lodge
147,Bosaso,SO,75.18,few clouds,11.2842,49.1816,Red Sea Hotel
154,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
158,Sao Joao Da Barra,BR,75.04,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
161,Pangkalanbuun,ID,88.27,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
165,Yendi,GH,82.96,broken clouds,9.4427,-0.0099,Eyarro Lodge
174,Bengkulu,ID,84.96,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
178,Camocim,BR,75.72,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
180,Mount Isa,AU,91.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
181,Buldana,IN,76.95,clear sky,20.5333,76.1833,Saikrupa Lawns
185,Carnarvon,AU,87.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
190,Quatre Cocos,MU,83.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
191,Harihar,IN,81.07,clear sky,14.5167,75.8,Azaam Dadapeer Palmbar
193,Viedma,AR,76.6,clear sky,-40.8135,-62.9967,Hotel Cristal
198,Cotonou,BJ,82.38,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
205,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
206,Bambous Virieux,MU,83.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
211,Noumea,NC,88.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
212,Flinders,AU,84.79,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
213,Mahebourg,MU,83.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
215,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
218,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,ibis Balikpapan
220,Geraldton,AU,86.41,few clouds,-28.7667,114.6,Broadwater Mariner Resort
221,Labuhan,ID,80.8,overcast clouds,-6.8844,112.2051,DoubleFAG
223,Ranong,TH,89.53,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
227,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
