City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-02-11 21:12:26,-42.8794,147.3294,56.26,73,75,11.5
1,Victoria,HK,2022-02-11 21:10:40,22.2855,114.1577,65.95,89,36,4.0
2,Marfino,RU,2022-02-11 21:13:09,55.7028,37.3822,33.71,69,0,11.18
3,Hofn,IS,2022-02-11 21:13:10,64.2539,-15.2082,28.71,81,100,20.85
4,Qaanaaq,GL,2022-02-11 21:13:10,77.484,-69.3632,-23.53,60,0,7.34
5,Busselton,AU,2022-02-11 21:10:39,-33.65,115.3333,58.08,91,43,5.26
6,Bathsheba,BB,2022-02-11 21:13:11,13.2167,-59.5167,81.21,61,40,24.16
7,Mar Del Plata,AR,2022-02-11 21:13:11,-38.0023,-57.5575,63.09,79,100,23.02
8,Hasaki,JP,2022-02-11 21:13:11,35.7333,140.8333,28.8,58,19,13.47
9,Tuktoyaktuk,CA,2022-02-11 21:13:12,69.4541,-133.0374,-23.85,100,55,5.35
10,Olean,US,2022-02-11 21:13:12,42.0776,-78.4297,54.28,45,100,14.97
11,Cape Girardeau,US,2022-02-11 21:13:12,37.3834,-89.7168,55.8,62,100,5.01
12,Bluff,NZ,2022-02-11 21:13:13,-46.6,168.3333,56.8,68,21,16.73
13,Pemberton,CA,2022-02-11 21:13:13,50.3164,-122.8027,42.76,76,79,0.78
14,Nikolskoye,RU,2022-02-11 21:13:14,59.7035,30.7861,28.29,92,40,7.94
15,Ushuaia,AR,2022-02-11 21:13:14,-54.8,-68.3,55.17,66,100,8.46
16,Bubaque,GW,2022-02-11 21:13:14,11.2833,-15.8333,78.98,74,69,10.78
17,Gold Coast,AU,2022-02-11 21:12:55,-28.0,153.4333,76.03,75,40,12.66
18,Yellowknife,CA,2022-02-11 21:13:15,62.456,-114.3525,-5.58,84,100,3.0
19,Oussouye,SN,2022-02-11 21:13:15,12.485,-16.5469,79.97,26,4,1.1
20,San Cristobal,VE,2022-02-11 21:13:15,7.7669,-72.225,71.78,60,82,1.3
21,Mataura,NZ,2022-02-11 21:13:16,-46.1927,168.8643,56.48,60,95,6.04
22,Fairbanks,US,2022-02-11 21:13:16,64.8378,-147.7164,4.24,75,100,6.91
23,Uyuni,BO,2022-02-11 21:13:16,-20.4597,-66.825,63.46,14,9,14.41
24,Gorom-Gorom,BF,2022-02-11 21:11:10,14.4439,-0.2361,76.51,8,0,7.9
25,Bredasdorp,ZA,2022-02-11 21:13:17,-34.5322,20.0403,64.27,86,12,2.77
26,Prince Rupert,CA,2022-02-11 21:10:08,54.3161,-130.3201,40.75,63,99,1.23
27,Villarrubia De Los Ojos,ES,2022-02-11 21:13:17,39.2209,-3.608,53.98,42,8,3.62
28,Albany,US,2022-02-11 21:12:03,42.6001,-73.9662,50.31,46,84,1.99
29,Kaitangata,NZ,2022-02-11 21:13:18,-46.2817,169.8464,60.93,72,91,7.05
30,Saint-Pierre,RE,2022-02-11 21:13:18,-21.3393,55.4781,76.68,73,0,3.44
31,Mananjary,MG,2022-02-11 21:13:19,-21.2167,48.3333,74.98,85,16,2.51
32,Rikitea,PF,2022-02-11 21:11:48,-23.1203,-134.9692,79.16,73,3,16.44
33,Vaini,TO,2022-02-11 21:13:19,-21.2,-175.2,84.36,89,40,6.91
34,Buala,SB,2022-02-11 21:13:19,-8.145,159.5921,75.78,96,100,2.39
35,Puerto Ayora,EC,2022-02-11 21:13:20,-0.7393,-90.3518,80.56,89,92,3.0
36,East London,ZA,2022-02-11 21:11:33,-33.0153,27.9116,74.75,86,100,6.11
37,Gongzhuling,CN,2022-02-11 21:13:20,43.5008,124.8198,11.08,81,43,3.67
38,Hilo,US,2022-02-11 21:12:27,19.7297,-155.09,80.33,62,0,5.75
39,San Patricio,US,2022-02-11 21:13:21,28.017,-97.5169,80.69,45,0,8.41
40,Cabo San Lucas,MX,2022-02-11 21:13:21,22.8909,-109.9124,77.61,59,0,11.5
41,Talnakh,RU,2022-02-11 21:13:22,69.4865,88.3972,-11.29,88,100,9.73
42,Butaritari,KI,2022-02-11 21:13:22,3.0707,172.7902,81.84,78,86,15.19
43,Sambava,MG,2022-02-11 21:13:22,-14.2667,50.1667,78.01,83,63,8.37
44,Codrington,AU,2022-02-11 21:14:23,-38.2667,141.9667,54.82,85,1,7.65
45,Carnarvon,AU,2022-02-11 21:14:23,-24.8667,113.6333,78.87,73,0,0.0
46,Ketchikan,US,2022-02-11 21:14:23,55.3422,-131.6461,39.18,81,100,8.05
47,Souillac,MU,2022-02-11 21:14:24,-20.5167,57.5167,75.36,82,7,3.06
48,Barmer,IN,2022-02-11 21:14:24,25.75,71.3833,60.57,26,0,2.19
49,Koslan,RU,2022-02-11 21:14:24,63.4564,48.8989,17.85,95,100,7.11
50,Andra,RU,2022-02-11 21:14:24,62.5147,65.8878,-0.33,91,100,15.7
51,Salalah,OM,2022-02-11 21:13:18,17.0151,54.0924,73.49,64,20,3.44
52,Greenfield,US,2022-02-11 21:14:25,42.9614,-88.0126,42.46,67,100,10.36
53,Saint-Francois,FR,2022-02-11 21:14:25,46.4154,3.9054,33.67,84,0,0.0
54,Inhambane,MZ,2022-02-11 21:14:26,-23.865,35.3833,75.42,76,22,10.25
55,Tiksi,RU,2022-02-11 21:14:26,71.6872,128.8694,-10.57,92,99,16.33
56,Fortuna,US,2022-02-11 21:12:54,40.5982,-124.1573,73.92,50,0,4.61
57,Castro,BR,2022-02-11 21:14:26,-24.7911,-50.0119,72.28,69,55,6.93
58,Umm Lajj,SA,2022-02-11 21:14:27,25.0213,37.2685,66.2,34,0,17.38
59,Nelson Bay,AU,2022-02-11 21:14:27,-32.7167,152.15,73.99,66,99,4.0
60,Avera,US,2022-02-11 21:14:28,33.194,-82.5271,69.67,38,53,11.21
61,Matay,EG,2022-02-11 21:14:28,28.419,30.7792,54.43,53,0,7.16
62,Hermanus,ZA,2022-02-11 21:14:28,-34.4187,19.2345,65.89,88,0,6.22
63,Mahebourg,MU,2022-02-11 21:13:54,-20.4081,57.7,75.25,80,14,2.15
64,Punta Arenas,CL,2022-02-11 21:14:29,-53.15,-70.9167,57.31,67,0,32.21
65,Komsomolskiy,UZ,2022-02-11 21:14:29,40.4272,71.7189,40.42,64,100,2.3
66,Palasa,IN,2022-02-11 21:14:29,18.7667,84.4167,67.64,86,12,3.98
67,Kapaa,US,2022-02-11 21:14:30,22.0752,-159.319,79.12,64,0,3.44
68,Dawlatabad,AF,2022-02-11 21:14:30,36.4141,64.9053,48.45,55,100,6.89
69,Chokurdakh,RU,2022-02-11 21:14:30,70.6333,147.9167,-4.85,97,100,12.53
70,Severo-Kurilsk,RU,2022-02-11 21:13:28,50.6789,156.125,24.37,90,100,5.95
